DATE,TYPE,REF #,DESCRIPTION,FEES,AMOUNT,BALANCE
2015-02-06,DIV,90692243,ORDINARY DIVIDEND~BAPL,0,12.27,1393.33
2015-02-20,DIV,34606455,ORDINARY DIVIDEND~BAPL,0,14.83,1408.16
2015-02-22,DIV,16360724,ORDINARY DIVIDEND~BAPL,0,24.24,1432.40
2015-02-26,DIV,39293066,ORDINARY DIVIDEND~HOOL,0,10.71,1443.11
2015-03-06,XFER,95397432,CLIENT REQUESTED ELECTRONIC FUNDING,0,5393.93,6837.04
2015-03-20,SELL,47069288,SOLD +BAPL 107 @42.87 (LOT 38.83),7.95,4579.14,11416.18
2015-03-24,BUY,91955231,BOUGHT +BAPL 89 @56.05,7.95,-4996.40,6419.78
2015-03-30,XFER,68299938,CLIENT REQUESTED ELECTRONIC FUNDING,0,3944.15,10363.93
2015-04-01,DIV,11669685,ORDINARY DIVIDEND~HOOL,0,4.69,10368.62
2015-04-02,BUY,35067825,BOUGHT +CSKO 149 @63.85,7.95,-9521.60,847.02
2015-04-14,DIV,26605450,ORDINARY DIVIDEND~BAPL,0,9.95,856.97
